,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
0,錦電サービス株式会社,河野朗,足立区千住旭町３８番１号２０１,サービス,http://www.kinden-service.co.jp/top.html,03-3291-3376,65,,35.748874,139.80716
1,株式会社トライ,-,足立区東六月町１１番３３号,情報・通信,-,-,,,35.787524,139.806009
2,株式会社広彩社,一條菊義,足立区千住宮元町１番４号,建設,http://www.kosaisyakk.jp/SITE/HOME.html,03-3870-4805,12,,35.746798,139.796199
3,七陽商事株式会社,鈴木聡,足立区梅島２丁目７番４号,商社,https://www.nanayojapan.com/,03-6721-5208,2,,35.77665,139.800335
4,株式会社ジェイオーシャン,-,足立区東綾瀬１丁目１１番１号,商社,-,-,0,,35.764485,139.832352
5,フジライトカーペット株式会社,辻田健二郎,足立区西伊興４丁目９番１０号,建設,http://www.fujilight.co.jp/,-,0,,35.802893,139.780417
6,株式会社ジンガーワンコーポレーション,-,足立区江北４丁目２９番１７号,小売,-,-,,,35.773847,139.766786
7,エイカン株式会社,-,足立区梅田３丁目２１番１８号,-,-,-,,,35.763036,139.79696
8,北立建設工業株式会社,金谷朝東,足立区入谷９丁目１４番１号,建設,http://www.hokuritsu.jp/,03-3864-7500,38,,35.809011,139.754661
9,株式会社キャリアメディカル,-,足立区千住３丁目６番１２号,医療・福祉,-,-,1,,35.751635,139.802709
10,株式会社イボルブ,-,足立区扇３丁目２５番１２号メゾン・ド・レゴ２０１,-,-,-,0,,35.770022,139.772176
12,株式会社ヒューズ,-,足立区西新井３丁目３番３号,-,-,-,0,,35.788332,139.781409
13,株式会社伊関工務店,伊関克悦,足立区宮城１丁目１３−１３メゾン真田１０１号,建設,http://www.isekikoumuten.co.jp,03-5902-5570,1,,35.75933,139.755095
14,株式会社セイコーシステムズ,-,足立区千住旭町２番１号江角ビル３０１号,-,-,-,0,,35.748874,139.80716
15,シーピーエス株式会社,-,足立区南花畑３丁目６番１号,-,-,-,1,,35.792441,139.824996
16,株式会社ブレイヴ,高橋豊,足立区保塚町８番１５号,商社,-,-,3,,35.786674,139.812942
17,株式会社アールミュゼット,-,足立区綾瀬４丁目２２番１９号,-,-,-,2,,35.765351,139.822318
18,株式会社秀,-,足立区扇１丁目３１番１４号,-,-,-,1,,35.762366,139.774261
19,株式会社創建ホーム,-,足立区栗原３丁目４番５号,建設,-,-,,,35.780269,139.785368
21,東京富士見工房株式会社,-,足立区鹿浜６丁目１４番９号,サービス,-,-,0,,35.786345,139.759033
22,株式会社ブランチウッドサービス,-,足立区谷中２丁目１番１２号,-,-,-,4,,35.775863,139.832888
23,株式会社デライトアップ,中込眞次,足立区千住１丁目４番１号,建設,http://www.delightup.jp/,03-5835-3277,2,,35.747835,139.801407
24,株式会社ミネルヴァ,工藤静栄,足立区青井３丁目５番２６−７３１号,情報・通信,http://www.minerva-trade.com/,-,,,35.771768,139.819242
25,株式会社ＨＵＭＡＮ　ＣＵＢＥｉｎｇ,-,足立区神明南２丁目７番２０号,-,-,-,,,35.789237,139.832085
26,株式会社日本伝播社,-,足立区千住２丁目２９番地,-,-,-,0,,35.74958,139.801967
27,天万年株式会社,-,足立区鹿浜６丁目１４番７号,-,-,-,5,,35.786345,139.759033
28,ＫＫブレイク株式会社,稲垣壽之,足立区扇２丁目２５番１号,-,-,-,28,,35.763224,139.765885
29,株式会社ポンドフィールド,-,足立区綾瀬１丁目３２番６号山和ビル３階,-,-,-,,,35.758847,139.822005
30,株式会社ベータプロジェクト,-,足立区綾瀬４丁目９−１８−５０６号,-,-,-,,,35.765351,139.822318
31,株式会社フィンテック研究所,-,足立区中央本町１丁目１１番７号センチュリー梅島１１０１,-,-,-,,,35.772771,139.804417
32,株式会社東東京イエローハット,鈴木弘三,足立区平野１丁目１４番２４号,-,http://www.yellowhat.jp/corp/about/group.html,-,174,,35.779852,139.805621
33,タクミテック株式会社,-,足立区千住宮元町２番７号,-,-,-,1,,35.746798,139.796199
36,株式会社ＳＴＯＣＫ８１,-,足立区栗原３丁目２５番１−３２２号,-,-,-,,,35.780269,139.785368
37,株式会社Ｌ．Ｌ,-,足立区鹿浜８丁目２８番１号ＫＳ第一ビル１・２階,-,-,-,,,35.788198,139.763594
38,有限会社ジェイ・ジクウ,-,足立区江北３丁目４７番２号,-,-,-,,,35.774461,139.761223
39,有限会社プランテック,-,足立区扇３丁目１９番５−３０９号,メーカー,-,-,,,35.770022,139.772176
40,有限会社フィフス・プラネット・ジャパン,-,足立区新田３丁目２６番１０号,情報・通信,-,-,,,35.771394,139.748646
41,有限会社アルク,佐藤信美,足立区南花畑１丁目１３番１０号,-,-,-,1,,35.787716,139.82441
42,パインズ建物管理合同会社,-,足立区千住寿町１４−１７,-,-,-,2,,35.753088,139.799171
43,ジュラン合同会社,-,足立区栗原１丁目２番１−８０３号,-,-,-,,,35.780414,139.789422
44,合同会社Ｌａｎｄ,-,足立区六木３丁目２８番２号,-,-,-,,,35.797245,139.842774
45,合同会社エルブトキオ,-,足立区千住旭町２２−１３,-,-,-,,,35.748874,139.80716
46,天理教峽月分教会,-,足立区西新井本町４丁目１２番２７号,-,-,-,,,35.772781,139.777998
47,特定非営利活動法人エスエルシーシー矍鑠協会,-,足立区谷中２丁目５番１０号イチゲビル２Ｆ,-,-,-,,,35.775863,139.832888
48,一般社団法人教育環境研究機構,-,足立区梅田２丁目４番１９号,-,-,-,,,35.765632,139.801509
49,株式会社モーフィール,-,足立区中川４丁目１２番１２号メゾン・ド・富士１００号室,-,-,-,5,,35.771442,139.846681
50,ニューライン株式会社,-,足立区千住宮元町１２−１２−２０１,-,-,-,0,,35.746798,139.796199
51,ビル・コンサルタント株式会社,-,足立区扇３丁目１８番１３−４１９号,サービス,-,-,,,35.770022,139.772176
52,株式会社フラット,-,足立区本木南町２１番１６号,サービス,-,-,1,,35.760899,139.781737
53,株式会社飯尾建築設計事務所,-,足立区足立２丁目１５番９号,サービス,-,03-5414-7038,0,,35.758779,139.81049
54,パートナーサービス株式会社,-,足立区青井３丁目３３番２２−９０１号,-,-,-,,,35.771768,139.819242
55,株式会社ジェイプラネット,-,足立区新田３丁目３５−３１−６０３,-,-,-,0,,35.771394,139.748646
56,株式会社ビューティー＆オブリージュ,-,足立区青井３丁目５番２６−１００２号,-,-,-,0,,35.771768,139.819242
57,株式会社ＭａｋｅＷａｖｅｓ,-,足立区西新井本町５丁目１２番１９−９０１号,-,http://makewaves.co.jp,-,0,,35.773892,139.783153
58,株式会社ＪＲＳ,-,足立区西新井栄町２丁目２０番１号,-,-,-,,,35.7766,139.788031
59,株式会社ノース,-,足立区竹の塚６丁目２４番１号,-,-,-,,,35.795695,139.792763
61,株式会社太陽,-,足立区鹿浜３丁目１１番５−１０１号,-,-,-,7,,35.781121,139.753482
62,株式会社オールラウンダー,-,足立区西新井１丁目２５−３ディアヒルズ２０３,-,-,-,,,35.78031,139.781021
63,株式会社ＨＯＮＥＹＮＡ,-,足立区島根３丁目２１−１３−１０８,-,-,-,,,35.779603,139.794499
64,株式会社Ｐｒｏｐｒｅ　Ｊａｐａｎ,-,足立区竹の塚６丁目９番７号,-,-,-,3,,35.795695,139.792763
65,株式会社ＷＨＩＴＥフェニックス,-,足立区保木間２丁目６番１３号,-,-,-,2,,35.793455,139.806234
66,読道株式会社,-,足立区西新井３丁目１７番１−９０６,-,-,-,1,,35.788332,139.781409
67,株式会社令和不動産,-,足立区谷在家３丁目２０番１３号,-,-,-,,,35.788807,139.768057
68,株式会社ＣＯＲＤ,-,足立区扇３丁目１３番１６号１Ｆ,-,-,-,8,,35.770022,139.772176
69,新緑合同会社,-,足立区梅島２丁目３８番１６号,-,-,-,,,35.77665,139.800335
70,株式会社三宝商会,-,足立区平野１丁目１４番４号,サービス,-,-,1,,35.779852,139.805621
72,日栄機工株式会社,-,足立区保木間２丁目９番５号,建設,http://homepage3.nifty.com/nichiei/,03-3847-4031,2,,35.793455,139.806234
73,株式会社シー・エス・シー,-,足立区青井２丁目１６番１−８０１号,情報・通信,-,-,0,,35.772297,139.814732
74,株式会社三沢建築研究所,-,足立区中川２丁目３番１０号,-,-,-,,,35.769147,139.855327
75,Ｎｅｏ　Ｐｒａｎａ株式会社,-,足立区竹の塚６丁目９−２第７丸本ビル２Ｆ,-,-,-,,,35.795695,139.792763
76,株式会社中安実業,夏小俊,足立区鹿浜３丁目４番２６中安ビル,建設,http://www.chuanbiz.com/default.aspx,-,16,,35.781121,139.753482
77,株式会社ケーズカンパニー,-,足立区中央本町２丁目１番１３号,メーカー,-,03-3871-1433,,,35.769019,139.807742
78,東京メディカルスクール株式会社,岡田優一郎,足立区綾瀬３丁目７番１５号綾瀬岩崎ビル２階Ａ−１号室,教育・研究,http://tokyo-medicalschool.com,-,1,,35.764004,139.826444
79,株式会社アニメ企画,-,足立区宮城１丁目１５番５号,-,-,-,,,35.75933,139.755095
80,株式会社共栄トラスト,-,足立区足立１丁目６番６号,不動産、レンタル・リース,-,-,16,,35.761522,139.805576
81,鼎峰国際商事株式会社,-,足立区梅島３丁目３６−２２白金ビル２０２室,-,-,-,1,,35.775806,139.794888
82,株式会社ミーツパブリッシング,-,足立区千住３丁目６１番地,-,-,-,1,,35.751635,139.802709
83,株式会社欧澤,-,足立区鹿浜５丁目２３番１号,-,-,-,,,35.785595,139.754383
84,株式会社白哲,-,足立区舎人３丁目１５番１８号,-,-,-,,,35.813186,139.773673
85,株式会社六紋,-,足立区扇２丁目２０番１２号,-,-,-,4,,35.763224,139.765885
86,株式会社皓元国際商社,-,足立区江北７丁目３番１号,-,-,-,1,,35.780768,139.763566
87,シーエスファシリティーズ株式会社,-,足立区扇３丁目１６番１２号,-,-,-,,,35.770022,139.772176
88,ベラッコ株式会社,-,足立区本木西町１０番２号,-,-,-,2,,35.760305,139.779444
