,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
0,株式会社アイ・ビルド,123-0862,東京都足立区皿沼3-20-15,,120,https://tsukulink.net/tokyo/city_131211/741649,https://ai-build.co.jp
1,株式会社高本コーポレーション,121-0052,東京都足立区六木４－１－２７,高本 修一,8,https://tsukulink.net/tokyo/city_131211/847704,https://www.takamoto-kenzai.com
2,株式会社バンズイノベーション,121-0815,東京都足立区島根3-24-13,小林 昌弘,1,https://tsukulink.net/tokyo/city_131211/754906,http://www.banzu.tokyo
3,インテリア ララ,121-0061,東京都足立区花畑3-16-1 202,,14,https://tsukulink.net/tokyo/city_131211/814522,https://daiki5160.wixsite.com/-site-1
4,山商リフォームサービス株式会社,121-0813,東京都足立区竹の塚6-14-6,,90,https://tsukulink.net/tokyo/city_131211/875445,http://www.8044.co.jp/
5,株式会社 木嶋興業,121-0054,東京都足立区辰沼2-2-14,木嶋 誠,25,https://tsukulink.net/tokyo/city_131211/651904,http://kijima-kaitai.co.jp/
6,（株）トップロード,121-0061,東京都足立区花畑２−１５,中道恵太,10,https://tsukulink.net/tokyo/city_131211/391720,http://toproad-co.jp
7,ヒローズエンターテイメント合同会社,120-0043,東京都足立区千住宮元町12-12-801,吉田裕則,49,https://tsukulink.net/tokyo/city_131211/774860,
8,有限会社 HiDeK,120-0001,東京都足立区大谷田足立区大谷田5-24-16,,11,https://tsukulink.net/tokyo/city_131211/459708,http://hidek.tokyo/
9,株式会社 健伸機工,121-0071,東京都足立区東六月町11-27,中田 健一,9,https://tsukulink.net/tokyo/city_131211/739254,http://kenshin-kikou.com/
10,株式会社 Sun interiQ,123-0841,東京都足立区西新井５丁目１番８号,樋口 鉄 ,9,https://tsukulink.net/tokyo/city_131211/257344,http://suninteriq.jp/wp
11,株式会社LIPAQ,121-0074,東京都足立区西加平2-3-3-201,野口 和史,2,https://tsukulink.net/tokyo/city_131211/866344,
12,丸市田中建設株式会社,120-0036,東京都足立区千住仲町27-14-2F,田中  淑之,13,https://tsukulink.net/tokyo/city_131211/881682,http://maruichi-tk.jp
13,株式会社 KMR,121-0061,東京都足立区花畑6-26-13-202,小室 裕輝,6,https://tsukulink.net/tokyo/city_131211/875524,
14,PHYZ株式会社,121-0836,東京都足立区入谷1-4-1,,4,https://tsukulink.net/tokyo/city_131211/255390,https://www.phyz.info/
15,株式会社SG工業,121-0831,東京都足立区舎人1-1-15,後藤一夫,4,https://tsukulink.net/tokyo/city_131211/252766,
16,株式会社 ファミリー工房,120-0001,東京都足立区大谷田4-1-20,古藤 晃英,57,https://tsukulink.net/tokyo/city_131211/745268,https://www.familykobo-co.jp
17,合同会社ｉＣｒａｆｔ,123-0862,東京都足立区皿沼１丁目５番４号,池澤宙志,4,https://tsukulink.net/tokyo/city_131211/652042,https://icraft-con.com/
18,ティークリーン,123-0864,東京都足立区鹿浜8-2-6204,照山 雄也,1,https://tsukulink.net/tokyo/city_131211/871277,
19,エムズワン（株）,121-0813,東京都足立区竹の塚６−１１−１２,,32,https://tsukulink.net/tokyo/city_131211/376026,http://www.ms-one01.com
20,ワールド クリーン,,,袖山 朱音,3,https://tsukulink.net/tokyo/city_131211/801946,
21,一建設株式会社 関東エリア（関東第4）,123-0872,東京都足立区江北4-5-13,堀口 忠美,,https://tsukulink.net/tokyo/city_131211/847667,https://www.hajime-kensetsu.co.jp/
22,株式会社AOI,121-0057,東京都足立区神明南1-13-4アルタイル203,直井 一記,11,https://tsukulink.net/tokyo/city_131211/853736,http://www.aoi-gaiheki.com/
23,皇誠重機,,,田中直樹,1,https://tsukulink.net/tokyo/city_131211/749104,https://www.kousei-juki.com/
24,株式会社ＮＥＥＤ ＵＳ,121-0824,東京都足立区舎人5-9-18,今泉 有人,77,https://tsukulink.net/tokyo/city_131211/461727,http://need-us.jp
